"t","condition","iv","dv","dvb"
1,"Fruit",15,187.425262980129,176.899568841136
2,"Fruit",15,176.110161370766,175.513517243952
3,"Fruit",15,189.498916241949,180.157091289631
4,"Fruit",15,200.555684783949,195.705934134201
5,"Fruit",15,205.387949691368,189.20837632816
6,"Fruit",15,172.285927029016,161.760232890023
7,"Fruit",15,183.567848322827,182.971204196013
8,"Fruit",15,177.539991556037,168.198166603719
9,"Fruit",15,164.396688217589,159.546937567841
10,"Fruit",15,209.517984409014,193.338411045806
1,"Veggie",5,176.899568841136,187.425262980129
2,"Veggie",5,175.513517243952,176.110161370766
3,"Veggie",5,180.157091289631,189.498916241949
4,"Veggie",5,195.705934134201,200.555684783949
5,"Veggie",5,189.20837632816,205.387949691368
6,"Veggie",5,161.760232890023,172.285927029016
7,"Veggie",5,182.971204196013,183.567848322827
8,"Veggie",5,168.198166603719,177.539991556037
9,"Veggie",5,159.546937567841,164.396688217589
10,"Veggie",5,193.338411045806,209.517984409014
