"t","condition","iv","dv","dvb"
1,"Fruit",15,127.886603157108,119.2661366638
2,"Fruit",15,129.87921799385,115.582871959409
3,"Fruit",15,152.103975218188,143.252905245366
4,"Fruit",15,165.720132114956,142.984999432766
5,"Fruit",15,138.208164873668,135.822209262443
6,"Fruit",15,136.975751676462,116.228783199771
7,"Fruit",15,122.107375720952,106.652658226827
8,"Fruit",15,152.339410191546,145.515562681419
9,"Fruit",15,143.876515922475,137.40354880995
10,"Fruit",15,135.978000082657,135.064947428779
1,"Veggie",5,119.2661366638,127.886603157108
2,"Veggie",5,115.582871959409,129.87921799385
3,"Veggie",5,143.252905245366,152.103975218188
4,"Veggie",5,142.984999432766,165.720132114956
5,"Veggie",5,135.822209262443,138.208164873668
6,"Veggie",5,116.228783199771,136.975751676462
7,"Veggie",5,106.652658226827,122.107375720952
8,"Veggie",5,145.515562681419,152.339410191546
9,"Veggie",5,137.40354880995,143.876515922475
10,"Veggie",5,135.064947428779,135.978000082657
