"t","condition","iv","dv","dvb"
1,"Fruit",15,191.385699375105,174.75097653113
2,"Fruit",15,178.099060011084,167.712166524013
3,"Fruit",15,170.346293222569,158.597803761768
4,"Fruit",15,215.175138775598,202.576995971164
5,"Fruit",15,190.236275550437,191.931380382378
6,"Fruit",15,185.075803496066,170.109608066532
7,"Fruit",15,186.195264207269,197.811501803545
8,"Fruit",15,168.783047705556,157.034558244755
9,"Fruit",15,196.632684372218,197.386560803328
10,"Fruit",15,194.877644015034,173.397756021243
1,"Veggie",5,174.75097653113,194.877644015034
2,"Veggie",5,167.712166524013,185.075803496066
3,"Veggie",5,158.597803761768,170.346293222569
4,"Veggie",5,202.576995971164,191.385699375105
5,"Veggie",5,191.931380382378,196.632684372218
6,"Veggie",5,170.109608066532,190.236275550437
7,"Veggie",5,197.811501803545,215.175138775598
8,"Veggie",5,157.034558244755,168.783047705556
9,"Veggie",5,197.386560803328,186.195264207269
10,"Veggie",5,173.397756021243,178.099060011084
