"t","condition","iv","dv","dvb"
1,"Fruit",15,137.776928120113,135.613255539071
2,"Fruit",15,152.454581004895,136.177134258677
3,"Fruit",15,133.008631702277,121.322257307498
4,"Fruit",15,114.834654487526,113.774994744041
5,"Fruit",15,137.300451168286,121.754657770262
6,"Fruit",15,145.964465470448,128.509944179088
7,"Fruit",15,144.775554935488,119.484796980917
8,"Fruit",15,108.956337024815,115.291125726439
9,"Fruit",15,139.854874751716,134.848375754489
10,"Fruit",15,120.753105004361,106.573390867334
1,"Veggie",5,135.613255539071,137.776928120113
2,"Veggie",5,136.177134258677,152.454581004895
3,"Veggie",5,121.322257307498,133.008631702277
4,"Veggie",5,113.774994744041,114.834654487526
5,"Veggie",5,121.754657770262,137.300451168286
6,"Veggie",5,128.509944179088,145.964465470448
7,"Veggie",5,119.484796980917,144.775554935488
8,"Veggie",5,115.291125726439,108.956337024815
9,"Veggie",5,134.848375754489,139.854874751716
10,"Veggie",5,106.573390867334,120.753105004361
