"t","condition","iv","dv","dvb"
1,"Fruit",15,184.536840506859,178.152792130311
2,"Fruit",15,210.868465821081,181.073332752563
3,"Fruit",15,191.076723578561,173.513128066641
4,"Fruit",15,196.292376477844,182.907374594433
5,"Fruit",15,186.811854620938,206.663068036612
6,"Fruit",15,181.22646588505,185.040892345202
7,"Fruit",15,180.50599204334,175.487944016676
8,"Fruit",15,197.964823793451,192.381341519657
9,"Fruit",15,199.374205496356,184.935640195709
10,"Fruit",15,186.565106108135,192.086978693375
1,"Veggie",5,178.152792130311,184.536840506859
2,"Veggie",5,181.073332752563,210.868465821081
3,"Veggie",5,173.513128066641,191.076723578561
4,"Veggie",5,182.907374594433,196.292376477844
5,"Veggie",5,206.663068036612,186.811854620938
6,"Veggie",5,185.040892345202,181.22646588505
7,"Veggie",5,175.487944016676,180.50599204334
8,"Veggie",5,192.381341519657,197.964823793451
9,"Veggie",5,184.935640195709,199.374205496356
10,"Veggie",5,192.086978693375,186.565106108135
